id,label
0,NG
1,OK
2,NG
3,OK
4,OK
5,OK
6,NG
7,NG
8,NG
9,NG
10,NG
11,NG
12,OK
13,OK
14,OK
15,OK
16,NG
17,NG
18,OK
19,OK
20,OK
21,OK
22,OK
23,OK
24,OK
25,OK
26,OK
27,OK
28,OK
29,OK
30,OK
31,OK
32,OK
33,NG
34,OK
35,NG
36,OK
37,OK
38,OK
39,OK
40,OK
41,OK
42,OK
43,NG
44,NG
45,NG
46,OK
47,NG
48,OK
49,OK
50,OK
51,OK
52,OK
53,OK
54,OK
55,OK
56,OK
57,OK
58,OK
59,OK
60,OK
61,OK
62,NG
63,OK
64,OK
65,NG
66,NG
67,NG
68,NG
69,NG
70,NG
71,OK
72,NG
73,OK
74,OK
75,NG
76,OK
77,NG
78,OK
79,NG
80,OK
81,OK
82,NG
83,NG
84,NG
85,NG
86,OK
87,OK
88,OK
89,OK
90,OK
91,NG
92,NG
93,OK
94,OK
95,NG
96,OK
97,OK
98,NG
99,NG
100,OK
101,NG
102,NG
103,OK
104,OK
105,OK
106,OK
107,OK
108,OK
109,OK
110,OK
111,OK
112,OK
113,OK
114,OK
115,OK
116,NG
117,OK
118,OK
119,NG
120,OK
121,NG
122,OK
123,OK
124,OK
125,OK
126,OK
127,OK
128,NG
129,NG
130,OK
131,NG
132,OK
133,NG
134,OK
135,NG
136,NG
137,NG
138,OK
139,OK
140,NG
141,OK
142,OK
143,OK
144,OK
145,OK
146,OK
147,OK
148,OK
149,OK
150,OK
151,NG
152,OK
153,OK
154,OK
155,OK
156,OK
157,OK
158,OK
159,OK
160,OK
161,OK
162,NG
163,OK
164,OK
165,OK
166,OK
167,OK
168,OK
169,OK
170,OK
171,OK
172,OK
173,OK
174,OK
175,OK
176,NG
177,NG
178,OK
179,OK
180,NG
181,NG
182,OK
183,OK
184,OK
185,NG
186,NG
187,OK
188,NG
189,OK
190,OK
191,OK
192,OK
193,OK
194,OK
195,OK
196,OK
197,OK
198,OK
199,OK
200,OK
201,OK
202,OK
203,NG
204,OK
205,OK
206,OK
207,OK
208,OK
209,NG
210,NG
211,NG
212,OK
213,OK
214,NG
215,NG
216,OK
217,OK
218,OK
219,OK
220,OK
221,OK
222,OK
223,OK
224,OK
225,OK
226,OK
227,NG
228,NG
229,NG
